;;;;;;;;;;
111111ohneUnismear.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Standard;;;;0.0;100.0;0.0;3;0;5;0;100.0;0
Standard;0.1;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;0.2;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;0.3;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;0.4;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;0.5;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;0.6;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;0.7;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;0.8;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;0.9;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.0;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.1;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.2;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.3;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.4;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.5;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.6;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.7;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.8;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.9;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;2.0;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;2.1;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;2.2;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;2.3;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;2.4;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;2.5;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;2.6;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;2.7;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;2.8;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;2.9;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;3.0;0.0;9.223372036854776E15;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;;;;12.5;112.5;0.0;6;2;1;0;100.0;0
Standard;0.1;0.1;1.0;25.0;87.5;0.0;5;1;1;0;100.0;0
Standard;0.2;0.1;2.0;25.0;87.5;0.0;5;1;1;0;100.0;0
Standard;0.3;0.1;3.0;25.0;87.5;0.0;4;1;2;0;100.0;0
Standard;0.4;0.1;4.0;25.0;87.5;0.0;3;1;3;0;100.0;0
Standard;0.5;0.1;5.0;25.0;87.5;0.0;3;1;3;0;100.0;0
Standard;0.6;0.1;6.0;25.0;87.5;0.0;3;1;3;0;100.0;0
Standard;0.7;0.1;7.0;25.0;87.5;0.0;3;1;3;0;100.0;0
Standard;0.8;0.1;8.0;25.0;75.0;0.0;2;0;4;0;100.0;0
Standard;0.9;0.1;9.0;25.0;75.0;0.0;2;0;4;0;100.0;0
Standard;1.0;0.1;10.0;25.0;75.0;0.0;3;0;3;0;100.0;0
Standard;1.1;0.1;11.0;0.0;100.0;0.0;2;0;6;0;100.0;0
Standard;1.2;0.1;12.0;0.0;100.0;0.0;2;0;6;0;100.0;0
Standard;1.3;0.1;13.0;0.0;100.0;0.0;2;0;6;0;100.0;0
Standard;1.4;0.1;14.0;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.5;0.1;15.0;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.6;0.1;16.0;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.7;0.1;17.0;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.8;0.1;18.0;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;1.9;0.1;19.0;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;2.0;0.1;20.0;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;2.1;0.1;21.0;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;2.2;0.1;22.0;0.0;100.0;0.0;1;0;7;0;100.0;0
Standard;2.3;0.1;23.0;0.0;100.0;0.0;1;0;7;0;100.0;0
